product-image,product-name,product-price
https://product.hstatic.net/1000304920/product/1x1_087598e55c6e4969a147394f583529d0_grande.jpg,LÂN NHÃ - NHỮNG LỜI THƯƠNG GỬI MUỘN (2-TRACK CD SINGLE) - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/post-malone-f-1-trillion-dia-cd_bb52f6e8dbb04c96b96f0737f3217113_grande.jpeg,POST MALONE - F-1 TRILLION - ĐĨA CD,"420,000₫"
https://product.hstatic.net/1000304920/product/foster-the-people-paradise-state-of-mind-vinyl-lp-dia-than_1_620eff3aeac744a6b3cdf2850efd5276_grande.png,FOSTER THE PEOPLE - PARADISE STATE OF MIND (VINYL LP) - ĐĨA THAN,"850,000₫"
https://product.hstatic.net/1000304920/product/21-savage-metro-boomin-savage-mode-ii-dia-cd_fb4e6d63658b4ad0a8c69b56b56cb125_grande.jpeg,"21 SAVAGE, METRO BOOMIN - SAVAGE MODE II - ĐĨA CD","400,000₫"
https://product.hstatic.net/1000304920/product/21-savage-issa-dia-cd_bc894335dee44c81b958b09311bf613f_grande.jpeg,21 SAVAGE - ISSA - ĐĨA CD,"400,000₫"
https://product.hstatic.net/1000304920/product/phat-thanh-cong-cong-album-nguyen-duy-hung-magnolia-tape-bang-cassette_cea395ec7fd14ee3a0591aceda5ed7ac_grande.jpg,HỒNG NHUNG - ĐÀI PHÁT THANH CÔNG CỘNG (ALBUM NGUYỄN DUY HÙNG) (MAGNOLIA TAPE) - BĂNG CASSETTE,"350,000₫"
https://product.hstatic.net/1000304920/product/benson-boone-pulse-dia-cd_d8153507e1cd48d99a67d556e2a303a9_grande.jpeg,BENSON BOONE - PULSE - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/img_8775_027ea05209a54b16b3a32e14d8782fac_grande.jpg,CHENG - CHẬP CHENG (DEBUT ALBUM) - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/img_8774_5c9669209bd6476c9a8cdc996d7ee5c7_grande.jpg,HAN SARA - I SARA YOU (EP) - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/img_8288_bf57eebb433142ac87e53f31d04d73c0_grande.jpg,THƯƠNG VÕ - KHÔNG PHẢI ĐỒ ĂN (CD SINGLE) - ĐĨA CD,"200,000₫"
https://product.hstatic.net/1000304920/product/elvis-presley-elvis-presley-dia-cd_f719b61f445a4ff3a989a42decf720f3_grande.jpeg,ELVIS PRESLEY - ELVIS PRESLEY - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/prince-controversy-dia-cd_85cbb9c7fd49457c92eb7b18deb725fd_grande.jpeg,PRINCE - CONTROVERSY - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/phung_khanh_linh_uoc_anh_tan_nat_con_tim-cd_69f1a4a525b7456dae7ca39aeaf8fea6_grande.jpg,PHÙNG KHÁNH LINH - ƯỚC ANH TAN NÁT CON TIM (CD SINGLE) - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/demi-lovato-revamped-silver-vinyl-lp-dia-than_6713852228c543b098bce58817320b13_grande.png,DEMI LOVATO - REVAMPED (SILVER VINYL LP) - ĐĨA THAN,"800,000₫"
https://product.hstatic.net/1000304920/product/jack-harlow-jackman-brown-vinyl-lp-dia-than_39d4d53b7c3c4b0c8c57d9ffbd6fc808_grande.jpg,JACK HARLOW - JACKMAN (BROWN VINYL LP) - ĐĨA THAN,"800,000₫"
https://product.hstatic.net/1000304920/product/niall-horan-the-show-frosted-glass-vinyl-lp-dia-than_3266e9e528224499be83bfbdad5d8823_grande.png,NIALL HORAN - THE SHOW (FROSTED GLASS VINYL LP) - ĐĨA THAN,"900,000₫"
